loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassprov,st_dist,st_disterr1,st_disterr2,st_distlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_mnum,pl_disc,rowupdate
3710,LHS 1140,LHS 1140 c,2,3.77793100,0.00000300,-0.00000300,0,0.310000,,,1,89.920,0.060,-0.090,0,Mass,14.99,0.02,-0.02,0,438,9,-9,0,1.81000,0.39000,-0.39000,0,1.282,0.024,-0.024,0,Multiple Telescopes,0,2018,2018-12-06
3711,LHS 3844,LHS 3844 b,1,0.46292913,0.00000190,-0.00000190,0,,,,0,88.500,0.510,-0.510,0,,14.90,0.01,-0.01,0,805,20,-20,0,,,,0,1.303,0.022,-0.022,0,0.1 m TESS Telescope,0,2019,2019-01-24
3712,LP 791-18,LP 791-18 b,2,0.94800500,0.00000580,-0.00000580,0,0.000000,,,0,87.300,2.000,-4.900,0,,26.49,0.06,-0.06,0,650,120,-120,0,,,,0,1.120,0.130,-0.130,0,0.1 m TESS Telescope,0,2019,2019-11-07
3713,LP 791-18,LP 791-18 c,2,4.98996300,0.00005000,-0.00005000,0,0.000000,,,0,89.550,0.320,-0.500,0,,26.49,0.06,-0.06,0,370,30,-30,0,,,,0,2.310,0.250,-0.250,0,0.1 m TESS Telescope,0,2019,2019-11-07
3714,LSPM J2116+0234,LSPM J2116+0234 b,1,14.43990000,0.00780000,-0.00870000,0,0.183000,0.062000,-0.063000,0,,,,0,Msini,17.64,0.02,-0.02,0,,,,0,13.30000,1.00000,-1.10000,0,,,,0,3.5 m telescope,0,2019,2019-06-13
3715,LTT 1445 A,LTT 1445 A b,1,5.35882000,0.00030000,-0.00031000,0,0.190000,0.350000,-0.140000,0,89.400,0.410,-0.460,0,Mass,6.87,0.00,0.00,0,433,28,-27,0,2.20000,1.70000,-2.10000,0,1.380,0.130,-0.120,0,0.1 m TESS Telescope,0,2019,2019-08-15
3716,LkCa 15,LkCa 15 b,2,,,,,,,,,50.000,,,0,,158.87,1.22,-1.22,0,,,,,,,,,,,,,Large Binocular Telescope,0,2015,2015-12-03
3717,LkCa 15,LkCa 15 c,2,,,,,,,,,50.000,,,0,,158.87,1.22,-1.22,0,,,,,,,,,,,,,Large Binocular Telescope,0,2015,2015-12-03
3718,Lupus-TR-3,Lupus-TR-3 b,1,3.91405000,0.00004000,-0.00004000,0,0.000000,,,0,88.300,1.300,-0.800,0,Mass,2000.00,,,0,,,,,257.43100,57.20700,-57.20700,0,9.976,0.785,-0.785,0,Multiple Telescopes,0,2007,2014-05-14
3719,MASCARA-1,MASCARA-1 b,1,2.14878000,0.00000800,-0.00000800,0,0.000000,,,0,87.000,2.000,-3.000,0,Mass,188.70,10.70,-10.70,0,2570,50,-30,0,1175.97100,286.04700,-286.04700,0,16.814,3.363,-3.363,0,Multiple Telescopes,0,2017,2017-11-02
3720,MOA-2007-BLG-192L,MOA-2007-BLG-192L b,1,,,,,,,,,,,,,Mass,1000.00,400.00,-400.00,0,,,,,3.30000,4.90000,-1.60000,0,,,,,1.8 m MOA Telescope,0,2008,2014-10-29
3721,MOA-2007-BLG-400L,MOA-2007-BLG-400L b,1,,,,,,,,,,,,,Mass,5800.00,600.00,-800.00,0,103,28,-26,0,263.79000,155.73000,-98.52000,0,,,,,1.8 m MOA Telescope,0,2008,2014-10-29
3722,MOA-2008-BLG-310L,MOA-2008-BLG-310L b,1,,,,0,,,,0,,,,0,Mass,7700.00,1100.00,-1100.00,0,,,,0,23.40000,17.00000,-17.00000,0,,,,0,1.8 m MOA Telescope,0,2009,2017-08-03
